epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.14386342937140983,0.49617885943002893,0.8641111111111112,0.8454494435955534,0.2137550940463679,0.2799214170865225,0.9785032524970454,0.05117673179396092,0.05872557726465364,0.8436909555647767,0.24652484226212995,0.49582142273431334,0.24586301284251386,0.945,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
2,0.02687792529695111,0.198437266750397,0.9546666666666667,0.9492964125230088,0.14247626278928843,0.4673396546797261,0.9999999710975701,0.021314387211367674,0.21225577264653642,0.9484339280196236,0.054786112299659386,0.1982633096939003,0.17682311197696254,0.958,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
3,0.018660962730160463,0.14600839561084214,0.9672222222222222,0.9638260450498672,0.11058746084037539,0.5740954029848584,0.9999999991530424,0.016984902309058615,0.36123445825932504,0.9631636935694815,0.036810268773546886,0.14594438341744942,0.16408214686880637,0.965,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
4,0.012950859039131627,0.1059171563301962,0.9775555555555555,0.9750095365525986,0.0787864925010228,0.697211504994923,1.0,0.011323268206039076,0.4669182948490231,0.9745332385888108,0.025354937422311305,0.10582323547428,0.08378260327148655,0.977,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
5,0.012981759996618318,0.09478126148124597,0.9775555555555555,0.9757117099702676,0.07659801805258139,0.70292530345795,1.0,0.009658081705150976,0.5053285968028419,0.9752993851529557,0.024856301032007394,0.09477798691419796,0.07336722669189158,0.982,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
6,0.009896324991368905,0.08642024723326887,0.983,0.9812985901087258,0.06343672081429576,0.7488990973873101,1.0,0.009103019538188277,0.6231127886323268,0.9809284827425467,0.01758518264318466,0.08634349761655535,0.08607992099595509,0.979,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
7,0.008408385288910653,0.07041281995154448,0.9838888888888889,0.9829003415988563,0.059090514295750705,0.7622612049045507,1.0,0.008103907637655417,0.6614120781527532,0.982572079445922,0.015482999115296388,0.07097236977182489,0.10103818868397743,0.976,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
8,0.006864717158469316,0.06116311027230865,0.9866666666666667,0.9861176039355263,0.04873267204754399,0.8049588256365029,1.0,0.006993783303730018,0.668183836589698,0.9858463271049581,0.012055280105082921,0.06110879154517274,0.07755925123461815,0.9825,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
9,0.006761131325726776,0.052031748763723996,0.988,0.9871872063216689,0.044506526149273376,0.8223859334354608,1.0,0.005106571936056839,0.7254662522202486,0.9869707917023721,0.01268081898312547,0.0519855488174065,0.10661229094372722,0.9785,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
10,0.005208937740595305,0.045162557898787356,0.9907777777777778,0.9897548025920591,0.03641928811574895,0.8537458848360376,1.0,0.0047735346358792185,0.7996225577264654,0.9895670477492772,0.009075414167843451,0.04512244947866077,0.10331736720525263,0.9825,inverse_loss,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0
