epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,1.2479595858256023,1.0992277485529582,0.6603333333333333,0.20337422800735688,0.17308273701600627,0.05000000074505806,0.6148316478225547,0.3825044014924009,0.0,0.4725170057844108,1.3548161446208684,1.095810594693036,0.11116283599444678,5.3233453841276575,0.4437225363254547,0.8775,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
2,0.5327682807180617,0.37464222139782377,0.8936666666666667,0.18676128311895987,0.17764917372817723,0.05000000074505806,0.6497640454433333,0.4668353871560433,0.0,0.7942869243487506,0.5206124060590502,0.37399995662796665,0.07975758601662139,3.951609984250136,0.3217344056367874,0.913,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
3,0.4284048675431146,0.2709187739690145,0.9224444444444444,0.1914074607718159,0.18455884049476032,0.05000000074505806,0.688037956264657,0.45286091532505734,0.0,0.8487752936255764,0.3955105026842843,0.27137700436820444,0.08067393443927588,2.773639809917396,0.2584978638887405,0.9265,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
4,0.33057762372493743,0.20506903707318835,0.9431111111111111,0.1844275994619853,0.17419158971645463,0.05000000074505806,0.6534639336693455,0.4605853872399935,0.0,0.8829186525143368,0.3142953796285978,0.20403789592460847,0.07769275680971398,2.161268583485778,0.19970313370227813,0.9435,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
5,0.3096196935971578,0.16788180690341525,0.954,0.17962708397650382,0.17199809555436524,0.05000000074505806,0.6710801368028345,0.45525968326649197,0.0,0.9018185550058392,0.27092858981078777,0.16739360405735568,0.07912622236738533,1.7987771806582598,0.1943910266160965,0.9425,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
6,0.24914052242040635,0.1300558776623673,0.9643333333333334,0.17194180316488508,0.1699624670223451,0.05000000074505806,0.6683230500825694,0.48655369709914836,0.0,0.9205887561113062,0.22356088186653567,0.12925382462185872,0.06617378013890604,1.4583294970888487,0.16567690312862396,0.9505,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
7,0.2040787385834588,0.0984833890332116,0.9721111111111111,0.17039433982170804,0.17173087376524027,0.05000000074505806,0.686444168779212,0.48862235898702916,0.0,0.9361379667067192,0.18397582626678574,0.09881258267961757,0.06517998936494261,1.2548529522519716,0.161151482462883,0.9485,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
8,0.17085364116562737,0.08067502399285634,0.9794444444444445,0.17892291470312735,0.17424553464835799,0.05000000074505806,0.6738268199940802,0.4772447179740583,0.0,0.9463968822653864,0.1560085987750913,0.08065922455993337,0.0680383910280718,1.0744570879869058,0.14834339398145677,0.9575,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
9,0.15590976732969283,0.06818026139669948,0.9815555555555555,0.17322944513928723,0.17802199700348814,0.05000000074505806,0.7072071135044098,0.4906029927898461,0.0,0.9530804719723446,0.13821615960816264,0.06790061276668394,0.06860668593230591,0.9575661580327531,0.14377780997753142,0.954,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
10,0.13290123760700226,0.05336049355400933,0.985,0.16785128257224258,0.1718561320867337,0.05000000074505806,0.7204131693907188,0.5091989434940715,0.0,0.9630627170414992,0.10789445829643331,0.05316399473329665,0.05991966344258735,0.77860654575724,0.14066212242841722,0.9565,final_layer_align,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0
