run_name,sample_trust_mode,batch_size,seed,epochs,model,hidden_dim,learning_rate,weight_decay,min_trust,max_trust,lambda_loss,lambda_entropy,use_leave_one_out,train_size,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,epoch_best_test_acc,final_trust_mean,final_trust_std,final_trust_min,final_trust_max,notes
sample_trust_20260504_025508_mlp_entropy_bs32_lr0p001_seed0,entropy,32,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.025344039240748517,0.9876666666666667,0.2055966443165671,0.953,0.961,8,0.970799852558907,0.08319764919512977,0.6098415724774624,0.9999999124953087,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_inverse_loss_bs32_lr0p001_seed0,inverse_loss,32,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.00890703315497376,0.9852222222222222,0.25907930663693696,0.9595,0.9595,10,0.9827674259530738,0.07577488532584822,0.6019596024977822,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_final_layer_align_bs32_lr0p001_seed0,final_layer_align,32,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.1594590685557988,0.99,0.2667083573080599,0.932,0.963,7,0.15882021302344107,0.20893938300457407,0.05000000074505806,0.8870093640706218,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_final_layer_align_mag_bs32_lr0p001_seed0,final_layer_align_mag,32,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.2016619431219167,0.9901111111111112,0.15333633604086935,0.9635,0.9635,10,0.12970270219107047,0.1903991218365676,0.05000000074505806,0.8793689775551464,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_ema_final_layer_align_bs32_lr0p001_seed0,ema_final_layer_align,32,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.13952507964128422,0.9795555555555555,0.17632138169929384,0.95,0.958,7,0.12684634198428046,0.11612333238441894,0.05000000074505806,0.47041411454795945,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_combined_simple_bs32_lr0p001_seed0,combined_simple,32,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.07433891180788892,0.987,0.22453009873325935,0.9555,0.9555,10,0.10916178548008415,0.1469403410120702,0.05000000074505806,0.6774758766042003,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_none_bs64_lr0p001_seed0,none,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.019444988219895296,0.9937777777777778,0.16789969662204385,0.96,0.9615,7,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0,confidence,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.011592131418227736,0.9814444444444445,0.2624927526935935,0.951,0.9525,8,0.9780733479675672,0.1057391438818147,0.3089878924772249,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_entropy_bs64_lr0p001_seed0,entropy,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.011059621133453523,0.9941111111111111,0.17342371956259012,0.9615,0.9615,10,0.9734557947368486,0.08100447153130956,0.5331321969522652,0.9999999539226505,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_inverse_loss_bs64_lr0p001_seed0,inverse_loss,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.010827312461359219,0.9818888888888889,0.22069047589041293,0.959,0.959,10,0.9791419810437142,0.1029518741628416,0.3199019741187704,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_final_layer_align_bs64_lr0p001_seed0,final_layer_align,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.15031821792489952,0.9883333333333333,0.13796766327880322,0.956,0.9585,7,0.16028137489202174,0.18764708418372675,0.05000000074505806,0.8059444854445491,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_final_layer_align_mag_bs64_lr0p001_seed0,final_layer_align_mag,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.16812993292179373,0.9908888888888889,0.13818551322817801,0.962,0.962,10,0.12043563170847318,0.16231938847836028,0.05000000074505806,0.8153638860858079,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_ema_final_layer_align_bs64_lr0p001_seed0,ema_final_layer_align,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.107113273392121,0.976,0.19238762444257737,0.9445,0.947,9,0.16009771823883057,0.15108856775447832,0.05000000074505806,0.5636710298399553,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_combined_simple_bs64_lr0p001_seed0,combined_simple,64,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.06281504098491536,0.9864444444444445,0.17878189370734618,0.9545,0.9555,6,0.10398854230735319,0.127010592807692,0.05000000074505806,0.6441695091994941,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0,none,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.022580102251635658,0.9955555555555555,0.163680327296257,0.9555,0.9555,10,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0,confidence,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.015574146416866117,0.9744444444444444,0.24835400879383088,0.9495,0.9505,9,0.9704065364851079,0.13499185637059347,0.13486302465620176,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_entropy_bs128_lr0p001_seed0,entropy,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.016028831081361408,0.9908888888888889,0.1700394964814186,0.9585,0.9585,10,0.9562295801203016,0.11260655540710604,0.3543134789231797,0.9999998228650697,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0,inverse_loss,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.015487782928678724,0.9746666666666667,0.24520534044504166,0.9505,0.9505,9,0.9705629231224597,0.13447383333417312,0.13951212639959765,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_final_layer_align_bs128_lr0p001_seed0,final_layer_align,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.13290123760700226,0.985,0.14066212242841722,0.9565,0.9575,8,0.16785128257224258,0.1718561320867337,0.05000000074505806,0.7204131693907188,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_final_layer_align_mag_bs128_lr0p001_seed0,final_layer_align_mag,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.16471555003854962,0.9882222222222222,0.13589402896165848,0.9595,0.9595,10,0.11587611281535995,0.13687052808597056,0.05000000074505806,0.7071546811453053,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_ema_final_layer_align_bs128_lr0p001_seed0,ema_final_layer_align,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.2003492908610238,0.9496666666666667,0.18631603854894638,0.943,0.943,10,0.15593153899404363,0.16505719154653414,0.05000000074505806,0.6532011044697023,ordinary_nn_samplewise_trust
