epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.49445417588949203,0.49445417588949203,0.8535555555555555,1.0,0.0,1.0,1.0,0.0,1.0,0.7601766059478969,0.5695958722990455,0.49335021592993683,0.26064656281471255,0.919,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
2,0.1933542072309388,0.1933542072309388,0.9423333333333334,1.0,0.0,1.0,1.0,0.0,1.0,0.9026088921736318,0.22303053028617345,0.19365097347858315,0.20086715638637542,0.9375,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
3,0.12696260410381688,0.12696260410381688,0.9611111111111111,1.0,0.0,1.0,1.0,0.0,1.0,0.9345766739219639,0.14777978866341265,0.12742337970730208,0.1815613177716732,0.943,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
4,0.08847647674547301,0.08847647674547301,0.9743333333333334,1.0,0.0,1.0,1.0,0.0,1.0,0.9534080106738612,0.10613424150629881,0.08842327685181237,0.1542103607058525,0.953,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
5,0.05505488606583741,0.05505488606583741,0.9812222222222222,1.0,0.0,1.0,1.0,0.0,1.0,0.9677904465942518,0.07512220681862945,0.05522106661492668,0.1620163340996951,0.9565,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
6,0.041115082525855134,0.041115082525855134,0.9858888888888889,1.0,0.0,1.0,1.0,0.0,1.0,0.9764286186678189,0.053033818153941883,0.04100754870645081,0.14882894345745445,0.958,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
7,0.025061532325732213,0.025061532325732213,0.9922222222222222,1.0,0.0,1.0,1.0,0.0,1.0,0.9845669193470732,0.03778776057734953,0.025076147507903403,0.17277388097415677,0.954,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
8,0.018861593479497566,0.018861593479497566,0.9953333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0.988584522237169,0.02809195847049065,0.018814583459054946,0.20436118118092417,0.954,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
9,0.01278647231503338,0.01278647231503338,0.9963333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0.9916691179816605,0.021395746192685163,0.012753535612093195,0.17659931885526747,0.96,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
10,0.0319430674299753,0.0319430674299753,0.9893333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0.9837208111235436,0.03148618175838876,0.031859601440296405,0.21853265722468496,0.9475,none,32,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs32_lr0p001_seed0
