epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.18489980629252062,0.5954641448292467,0.8272222222222222,0.8042268601133891,0.2534880737835171,0.11185481721627796,0.9714304713915426,0.06316489361702128,0.02327127659574468,0.8021367896110454,0.3226387341282205,0.5948471709564064,0.22554247948899867,0.9445,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
2,0.028021792641323474,0.1942521829435395,0.9545555555555556,0.9471467037995657,0.16670644951568164,0.24911909428894097,0.9999999928136244,0.021165780141843973,0.13574911347517732,0.9463238718239129,0.06461108610172697,0.19375072163694823,0.22820906393323093,0.952,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
3,0.020857856398137906,0.1577309209304965,0.9653333333333334,0.9608725478463139,0.1389086824744372,0.3320297060521148,0.9999999978863601,0.016733156028368796,0.22495567375886524,0.9601822199550927,0.04417029297159298,0.15746711670063562,0.12494577749527525,0.97,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
4,0.016948058506292756,0.1231837733954243,0.9727777777777777,0.9679967818108011,0.11894903936855364,0.4143232092763304,1.0,0.014184397163120567,0.3379875886524823,0.9674181671852761,0.035835367010527114,0.12285615729386537,0.10701406114209386,0.972,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
5,0.012611022562894505,0.09418045002423847,0.979,0.9761355572135736,0.09581292474945097,0.5103625835626261,1.0,0.010859929078014184,0.4014849290780142,0.9756871246277018,0.026638819959616547,0.09394963116566477,0.10234944430878386,0.974,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
6,0.010308616176130374,0.08114103980523134,0.9823333333333333,0.9801788587942191,0.08465682453884546,0.5624852618797028,1.0,0.007978723404255319,0.47085549645390073,0.9798510930639632,0.020694923396226937,0.08092525006576198,0.07958095950691495,0.977,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
7,0.009105602814796537,0.07125791567772911,0.985,0.9829547667334265,0.07299407158846129,0.6226851487571888,1.0,0.007424645390070922,0.5310283687943262,0.9826368900901037,0.01874818412281766,0.07107523460263432,0.10565856860834173,0.9765,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
8,0.007983229821828496,0.06067629060642614,0.9851111111111112,0.9838087417132465,0.07496485273385514,0.5938760070064177,1.0,0.006870567375886525,0.5930851063829787,0.9835453642175552,0.016276865680190003,0.06051491998984194,0.0989221386685531,0.9735,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
9,0.006813816679454855,0.0557248515274332,0.9885555555555555,0.9870475141714651,0.0607570727051749,0.669857763308794,1.0,0.00587322695035461,0.6240026595744681,0.9868003605528081,0.013328849519068353,0.05557775125482942,0.1040965315389003,0.9765,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
10,0.006031487735306857,0.04445046040903334,0.9898888888888889,0.988648699319109,0.054262531368673685,0.7021711342538713,1.0,0.0047650709219858155,0.6432845744680851,0.9884656570481916,0.012355474918967312,0.04433225972536628,0.10590057217090293,0.9795,confidence,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0
