optimizer_variant,runs,mean_best_val_test_accuracy,std_best_val_test_accuracy,mean_test_nll,mean_test_ece
per_unit_filter_trust,3,0.8746666666666667,0.011643166808619307,0.41834905627568564,0.1005766558011373
adamw,3,0.8733,0.009754998718605797,0.4275725703080495,0.10132348597844441
old_kalman_grad_scaling,3,0.8731,0.007332121111929336,0.4263777064641317,0.09572536302407582
adamw_clip,3,0.8717333333333334,0.009584536156399686,0.42708777453104657,0.09930408248106638
combined_kalman_trust,3,0.8606666666666667,0.013403855166829213,0.4682464748541514,0.11271607063611348
kalman_lr_controller,3,0.8544666666666667,0.01048872410416698,0.4935061140378316,0.12114209282398224
direction_aware_trust,3,0.8442333333333334,0.010257842528199251,0.5359846310297648,0.13439748757680256
