epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.2899867355161243,0.7879513765970866,0.7741111111111111,0.7229468705700645,0.285460163378454,0.052281755636981196,0.9597854031950024,0.074445922006952,0.007446808515922398,0.7205592856233847,0.5246927947968456,0.7887081779698109,0.4390528385043144,0.908,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
2,0.05656835643450419,0.40827399138609566,0.9096666666666666,0.895821805964125,0.2504165754356283,0.056288187041984385,0.9999999154544046,0.04605496454164914,0.038142730501738,0.8940622438775733,0.12953187276919684,0.4077598017422443,0.3687776050101966,0.92,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
3,0.04204221407572428,0.31469441795349123,0.9346666666666666,0.9234324516134059,0.2151113045765153,0.06509119060868067,0.9999999923908964,0.03308953900973425,0.0717863475388669,0.9220854145415286,0.09425883169503922,0.3151459134322532,0.3288752983827144,0.934,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
4,0.03125097250607278,0.25634856743613876,0.9488888888888889,0.9407885357843223,0.19005904288579387,0.09267604287634505,1.0,0.028812056737588652,0.09111258865776636,0.9396280155959704,0.06930157328883173,0.25576885152568524,0.29258787908218803,0.9425,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
5,0.02700397856367959,0.21347286532322565,0.9583333333333334,0.9505669554920061,0.17136021198189638,0.12007538572693548,1.0,0.022828014184397165,0.12043439718425697,0.9496187846711341,0.06033282297669996,0.21301021257494676,0.2827015384323895,0.9455,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
6,0.020991571981666818,0.1787384520717379,0.9667777777777777,0.960658535044244,0.15289192920359154,0.14261017594460054,1.0,0.019835992907801418,0.1412677305175903,0.9598355817456617,0.04679626562295759,0.1782692467594843,0.24364523147419095,0.9505,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
7,0.01787783018209868,0.1519042951108681,0.9695555555555555,0.9650789765601463,0.14508080033829818,0.15969233531901178,1.0,0.01713209220122361,0.16420656030482433,0.9643725697875868,0.04086198737342835,0.15237380110853557,0.27149259770475326,0.945,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
8,0.015006453074514866,0.12943698685036764,0.9756666666666667,0.9711235727824218,0.12658520244187443,0.23765643522249047,1.0,0.014694148938812263,0.19140070930440375,0.9705290870463594,0.03428762072221713,0.1297691993956976,0.25064804473146796,0.9525,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
9,0.01308389028492901,0.10854161260773738,0.9791111111111112,0.9754294740392807,0.11681667691037217,0.2510043237067706,1.0,0.011923758867890277,0.22125443266638628,0.9749223632169953,0.030154864224506184,0.10849685513444166,0.23182232289388777,0.952,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
10,0.011592131418227736,0.0902298899754468,0.9814444444444445,0.9780733479675672,0.1057391438818147,0.3089878924772249,1.0,0.010749113475177305,0.2402703900497856,0.9776572052468645,0.02828566470441032,0.0899911899984887,0.2624927526935935,0.951,confidence,64,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs64_lr0p001_seed0
