epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.2470009821785821,0.652074074074074,0.661272413889567,0.8086666666666666,0.661272413889567,0.16875081459681193,0.8026,0.6825495093345643,0.17018348681926726
2,0.9704866499724212,0.7439259259259259,0.5886507606506348,0.8338333333333333,0.5886507606506348,0.15806815826892853,0.824,0.6118738751411438,0.15708427867889405
3,0.926887589542954,0.7561481481481481,0.564237335840861,0.8403333333333334,0.564237335840861,0.1485396744807561,0.8271,0.5897680888175965,0.1438340482711792
4,0.9013590435451931,0.7650370370370371,0.5295065911610921,0.8433333333333334,0.5295065911610921,0.12969198656082154,0.8376,0.5528403854370117,0.1302405131816864
5,0.8827360366362113,0.7710925925925926,0.4994365437825521,0.855,0.4994365437825521,0.13120025205612182,0.8424,0.5254841920852661,0.12347894096374512
