epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.19724327550111,0.6776296296296296,0.5417993310292561,0.8395,0.5417993310292561,0.13389243396123252,0.8323,0.5697824491024017,0.13288353428840638
2,0.9002587245481986,0.768537037037037,0.49730890210469564,0.8561666666666666,0.49730890210469564,0.1289093872308731,0.8488,0.5276758299350739,0.12851309192180632
3,0.8496315538265087,0.7837777777777778,0.45999387232462563,0.8638333333333333,0.45999387232462563,0.12500905998547873,0.8605,0.4845271498680115,0.12552708854675293
4,0.8216169453197055,0.7925555555555556,0.43760913467407225,0.8653333333333333,0.43760913467407225,0.10569117108980815,0.8591,0.4635044022321701,0.10781871881484985
5,0.7990248369640774,0.7974629629629629,0.43358720779418947,0.876,0.43358720779418947,0.13153894313176473,0.872,0.457584325504303,0.12710189623832702
6,0.7811394566076774,0.8029444444444445,0.41025658416748045,0.8796666666666667,0.41025658416748045,0.11861339084307353,0.8729,0.4379555525779724,0.11382269749641419
7,0.7638648237652249,0.8066111111111111,0.3949905211130778,0.8861666666666667,0.3949905211130778,0.11177694565057754,0.8779,0.4215722022533417,0.10748200931549072
8,0.7505310565365685,0.8116296296296296,0.39225037320454914,0.8863333333333333,0.39225037320454914,0.11105252589782079,0.8801,0.41698608336448667,0.10695503001213073
9,0.7329172437632525,0.8158333333333333,0.37724755859375,0.8855,0.37724755859375,0.09576608113447825,0.8782,0.39951575293540953,0.09667361600399017
10,0.7200194074666059,0.8180740740740741,0.3917662353515625,0.8843333333333333,0.3917662353515625,0.1025363854765892,0.88,0.4150333741188049,0.10199753510951996
