epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0037127181512338,0.7293888888888889,0.5985556233723959,0.8343333333333334,0.5985556233723959,0.1557068281173706,0.8302,0.6157016407489777,0.15884072465896606
2,0.8695719211013229,0.7765740740740741,0.4647594165802002,0.8685,0.4647594165802002,0.12867676870028177,0.8574,0.4963910593509674,0.1231835521697998
3,0.8353482349183824,0.787425925925926,0.4619643675486247,0.8731666666666666,0.4619643675486247,0.13254735467831294,0.8596,0.49982239565849307,0.12915327320098877
4,0.8054229686525133,0.7953148148148148,0.4350243803660075,0.8765,0.4350243803660075,0.11181999937693278,0.8623,0.462983034992218,0.10793518285751343
5,0.7842847256660461,0.8014259259259259,0.4252073777516683,0.869,0.4252073777516683,0.10599113982915878,0.8606,0.4522194974899292,0.09879699301719666
