epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0177329406031856,0.724574074074074,0.591677267074585,0.8336666666666667,0.591677267074585,0.1473151400089264,0.8286,0.6114874361038208,0.1486499125957489
2,0.8766734419575444,0.7742407407407408,0.4651368255615234,0.8666666666666667,0.4651368255615234,0.12490937272707621,0.8568,0.4949497859477997,0.12096558208465576
3,0.8360662579359832,0.7870370370370371,0.45958231671651206,0.8743333333333333,0.45958231671651206,0.1310302613178889,0.8585,0.49608873386383057,0.12777536237239837
4,0.8036369632261771,0.7967777777777778,0.4306726519266764,0.8765,0.4306726519266764,0.11018102153142294,0.8651,0.4553969514846802,0.10939668116569519
5,0.7853943435880872,0.8018518518518518,0.40971680704752605,0.8738333333333334,0.40971680704752605,0.09766915611426036,0.8627,0.43667516951560975,0.09455508596897125
