epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.198667567924217,0.6805555555555556,0.5651496454874675,0.835,0.5651496454874675,0.13443803417682648,0.8276,0.5878222024440766,0.1336446413755417
2,0.8935935391849942,0.7716296296296297,0.504633191426595,0.864,0.504633191426595,0.1423127541144689,0.8488,0.5298649860858917,0.1354800203561783
3,0.842651538460343,0.7851481481481482,0.4565892512003581,0.8678333333333333,0.4565892512003581,0.13018650452295938,0.8609,0.4831225198745728,0.12646814239025117
4,0.8141170094278124,0.7942777777777777,0.46804209836324057,0.88,0.46804209836324057,0.14538285946846008,0.8679,0.491606494140625,0.1410167487859726
5,0.7917882228427463,0.8006851851851852,0.4758486461639404,0.8745,0.4758486461639404,0.1447336240609487,0.8667,0.5000037327289582,0.14205219407081604
6,0.774867702766701,0.8052037037037038,0.4016911497116089,0.8835,0.4016911497116089,0.10835182370742162,0.8741,0.4277831612110138,0.10903746628761292
7,0.7577347398863898,0.8095555555555556,0.4346764380137126,0.8838333333333334,0.4346764380137126,0.1342193574110667,0.8769,0.4632773403167725,0.1404141594171524
8,0.7432402137120565,0.812037037037037,0.41107982444763186,0.8898333333333334,0.41107982444763186,0.1348089434703191,0.8794,0.4379553418636322,0.12861561663150786
9,0.7299208065845348,0.8171481481481482,0.37396458943684896,0.8911666666666667,0.37396458943684896,0.11218243211507797,0.885,0.408000075340271,0.10765784780979157
10,0.7153671666427895,0.820925925925926,0.3819766324361165,0.8918333333333334,0.3819766324361165,0.10818103702863058,0.8826,0.40948522634506224,0.1055669054031372
