epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0117817149515504,0.7286666666666667,0.5200016568501791,0.8478333333333333,0.5200016568501791,0.12757989476124446,0.8405,0.5451252325534821,0.12196878063678741
2,0.8674476405249701,0.7797962962962963,0.4830511423746745,0.8726666666666667,0.4830511423746745,0.13914168433348337,0.858,0.5134327694416047,0.1354267827987671
3,0.8295413388322901,0.789074074074074,0.4375059591929118,0.8755,0.4375059591929118,0.12832101074854532,0.8655,0.4630725779056549,0.12453872969150544
4,0.8026911778803225,0.7992407407407407,0.4415773703257243,0.8781666666666667,0.4415773703257243,0.1327357658147812,0.8702,0.4662192420959473,0.12941200575828551
5,0.7842230417816727,0.8032037037037038,0.47216093317667646,0.8771666666666667,0.47216093317667646,0.14619920500119526,0.8692,0.4929109467983246,0.14386210362911225
6,0.7665354659115826,0.8074629629629629,0.4126640803019206,0.8843333333333333,0.4126640803019206,0.10832534249623617,0.8726,0.43824895582199097,0.10543406147956848
7,0.7519020490646362,0.8107592592592593,0.44456560707092285,0.884,0.44456560707092285,0.14216746413707734,0.8774,0.4692590807437897,0.13844819622039795
8,0.7369492928716872,0.8147592592592593,0.4227551415761312,0.8881666666666667,0.4227551415761312,0.13246200420459112,0.8802,0.44713068571090697,0.13402826807498933
9,0.7213267439912867,0.8185740740740741,0.3777782917022705,0.8888333333333334,0.3777782917022705,0.09558136669794719,0.8805,0.40849329299926757,0.09270649290084838
10,0.7078948748729847,0.8218518518518518,0.38873785654703774,0.889,0.38873785654703774,0.10074148734410604,0.878,0.4184045513153076,0.09786451921463013
