epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.341759834713406,0.6199444444444444,0.7436481475830078,0.7806666666666666,0.7436481475830078,0.1815840711593628,0.7722,0.7620849290847779,0.1802604115486145
2,1.0208347911481503,0.7266666666666667,0.641875473022461,0.8163333333333334,0.641875473022461,0.1675360987186432,0.8088,0.6631558676719665,0.16521165256500245
3,0.9652360852206194,0.745037037037037,0.6014267209370932,0.832,0.6014267209370932,0.15825299604733786,0.8174,0.6249375819206238,0.15135661940574646
4,0.9364105696854768,0.7551666666666667,0.5674808648427327,0.8355,0.5674808648427327,0.14060622636477152,0.8286,0.5883239879608154,0.13968898491859436
5,0.9175205150533605,0.7627222222222222,0.540461711247762,0.8448333333333333,0.540461711247762,0.13854927213986715,0.8324,0.5642399345397949,0.13561438632011413
