epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0298312949781065,0.7201851851851852,0.49784922154744465,0.8513333333333334,0.49784922154744465,0.12472947124640146,0.8478,0.524818598985672,0.1246350248336792
2,0.8843981629477606,0.7725740740740741,0.48844708887736005,0.865,0.48844708887736005,0.13704889949162802,0.8575,0.5133095044612884,0.13822251915931702
3,0.8392707291002627,0.7875555555555556,0.4536454296112061,0.8593333333333333,0.4536454296112061,0.11255848421653111,0.8544,0.4778363796234131,0.11284857230186462
4,0.8126001759811684,0.7951111111111111,0.4291176681518555,0.87,0.4291176681518555,0.10144541331132254,0.8638,0.450733398771286,0.10532097170352936
5,0.7947464118886877,0.7991111111111111,0.4193782958984375,0.878,0.4193782958984375,0.1201086231470108,0.8734,0.4411813775062561,0.11630948886871338
6,0.7765835150436119,0.8049259259259259,0.41013402938842775,0.8813333333333333,0.41013402938842775,0.1118322338461876,0.8703,0.4354787317276001,0.10657897107601166
7,0.7604634915634438,0.8097592592592593,0.4118646748860677,0.8823333333333333,0.4118646748860677,0.1147067611614863,0.877,0.4296275589466095,0.1123673602104187
8,0.7447934989840896,0.8133148148148148,0.40388196182250974,0.8816666666666667,0.40388196182250974,0.10575894232590993,0.8751,0.42332148141860965,0.09895371298789978
9,0.7322130623216982,0.8155740740740741,0.3975515111287435,0.8788333333333334,0.3975515111287435,0.10005698351065317,0.8713,0.4197228323698044,0.09782813060283661
10,0.7178300295582524,0.8183333333333334,0.40768113899230957,0.8845,0.40768113899230957,0.10431735535462697,0.8747,0.43198842120170594,0.10057694296836853
