epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.3575624913109674,0.634,0.7438652407328288,0.7865,0.7438652407328288,0.188412868976593,0.7764,0.7621105422973633,0.18317070770263671
2,1.0257355443636575,0.729,0.6316261825561523,0.8155,0.6316261825561523,0.15920350873470307,0.8107,0.6515692608833313,0.1599404078245163
3,0.9676393912280047,0.7472407407407408,0.5932364139556885,0.8331666666666667,0.5932364139556885,0.16070487292607624,0.8235,0.6134418200969696,0.15713224606513976
4,0.9389676399760776,0.7561481481481481,0.566343589146932,0.8395,0.566343589146932,0.14571294363339743,0.8271,0.5863150775432586,0.1390718681335449
5,0.919867826461792,0.7620185185185185,0.5533065064748128,0.8458333333333333,0.5533065064748128,0.14621655305226644,0.837,0.5743294189453125,0.14308800950050354
6,0.9046548920737373,0.7671296296296296,0.5361473573048909,0.851,0.5361473573048909,0.14419592642784118,0.8357,0.5586098628520966,0.13878360209465027
7,0.892974802882583,0.7713703703703704,0.5219393513997396,0.8533333333333334,0.5219393513997396,0.14304704769452412,0.8427,0.5460056798934937,0.13640732185840607
8,0.8823785842612938,0.7747962962962963,0.5103208465576172,0.8553333333333333,0.5103208465576172,0.13579818991820017,0.8461,0.5330241300582885,0.13157435638904572
9,0.8728254692995989,0.7782037037037037,0.5050359617869059,0.8581666666666666,0.5050359617869059,0.13995773462454478,0.845,0.5304478511333466,0.13518461842536927
10,0.8638505632965653,0.7810555555555555,0.49491083971659344,0.863,0.49491083971659344,0.14021622808774312,0.8497,0.5197598048210144,0.13378762910366057
