epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0063530444569058,0.7287777777777777,0.5834610303243001,0.8388333333333333,0.5834610303243001,0.156907821893692,0.8327,0.603757788848877,0.1569088380098343
2,0.8679555314028704,0.7780370370370371,0.45798664474487305,0.8656666666666667,0.45798664474487305,0.12131358083089193,0.8586,0.4883920378684998,0.1221248914718628
3,0.8330071723549455,0.7876296296296297,0.4610985012054443,0.8753333333333333,0.4610985012054443,0.13248740696907044,0.8607,0.495170986366272,0.13012871596813202
4,0.8027690513398912,0.7962962962962963,0.44925742467244467,0.8715,0.44925742467244467,0.10673985771338144,0.8582,0.476180819606781,0.10614993920326232
5,0.7818732308635006,0.8027592592592593,0.40896872075398766,0.8725,0.40896872075398766,0.09920349742968877,0.8644,0.4361320041656494,0.09516768207550048
