epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0230833794452525,0.7227037037037037,0.5335295079549154,0.8443333333333334,0.5335295079549154,0.12467064672708511,0.8384,0.5577845876693726,0.12379931116104126
2,0.8709024637010362,0.7785555555555556,0.49898594601949053,0.864,0.49898594601949053,0.14099639348189036,0.854,0.5294963520050049,0.1376681271791458
3,0.8331684686342875,0.7878703703703703,0.43911119016011557,0.8765,0.43911119016011557,0.1305369211435318,0.8659,0.46849415225982666,0.1253120045185089
4,0.8040847407976787,0.7988703703703703,0.4482572301228841,0.8793333333333333,0.4482572301228841,0.1316148158510526,0.8714,0.47327767305374147,0.13221488814353943
5,0.7886185266000253,0.8014074074074075,0.46931019020080567,0.876,0.46931019020080567,0.14453434026241302,0.8713,0.4933608742713928,0.14241025238037108
6,0.7699949903134946,0.8073333333333333,0.41889509137471514,0.8813333333333333,0.41889509137471514,0.10466587563355764,0.8664,0.44659198341369627,0.10094348397254944
7,0.7510468067769651,0.8106851851851852,0.4430049336751302,0.8865,0.4430049336751302,0.14024491612116496,0.8782,0.4684837763786316,0.14101058242321016
8,0.7391912571765759,0.8146111111111111,0.4122907638549805,0.888,0.4122907638549805,0.1219835308790207,0.8802,0.43547608227729795,0.12071705796718597
9,0.7243906057322467,0.8179814814814815,0.3917520980834961,0.8886666666666667,0.3917520980834961,0.10600307786464691,0.8795,0.4246851034641266,0.1031639281988144
10,0.7089271242353651,0.8212037037037037,0.38306469917297364,0.8868333333333334,0.38306469917297364,0.09136669125159581,0.8803,0.41046952867507935,0.0920440601348877
