epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.8280112594929007,0.44769873194562065,0.867,0.17564154225757236,0.18436883126598905,0.05000000074505806,0.6483846821856964,0.4672513321492007,0.0,0.7603351698119729,0.6448990256255939,0.4473894538877277,0.1877211833581143,4.375617058937757,0.13078399512916802,0.9605,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
2,0.46847140784561636,0.12202586113578744,0.9648888888888889,0.17348349470228328,0.21935946946933893,0.05000000074505806,0.8063294663628295,0.5717140319715808,0.0,0.9256956749868647,0.20293863815773233,0.1219608017274875,0.14812994671102156,1.895639074685095,0.09568519580364228,0.973,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
3,0.35024890281818805,0.0727936956828667,0.9792222222222222,0.16237169370505145,0.22577532620349533,0.05000000074505806,0.8657401759925151,0.6277753108348135,0.0,0.9558993264582822,0.11438460510677359,0.07292010113191634,0.12535439672024645,1.2090708595100081,0.07168795457482338,0.975,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
4,0.27158745831292536,0.05250495599675924,0.9833333333333333,0.15944715625015923,0.22742119995251853,0.05000000074505806,0.8757620889488376,0.6517539964476021,0.0,0.9682988834635191,0.07824484908169212,0.052462110904745965,0.12136600607490004,0.8947360878859913,0.07260775888711214,0.976,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
5,0.19477837971685869,0.035266890930464596,0.9896666666666667,0.1583332962242367,0.23293776053200818,0.05000000074505806,0.9005654793543671,0.679285079928952,0.0,0.9792268667932513,0.048881260227812307,0.03527328988096913,0.11614437821134263,0.6441252443056097,0.07481319043110125,0.9745,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
6,0.16408230943860125,0.026869915260393302,0.9901111111111112,0.15421242194107965,0.23405194859521639,0.05000000074505806,0.9187240086059164,0.6961589698046181,0.0,0.9835108044304178,0.03760406517162737,0.0268463265761016,0.11084932670142786,0.5347392466355555,0.0494587002464541,0.983,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
7,0.15951544023271547,0.026212640716222167,0.992,0.15365779201366125,0.2350116424513964,0.05000000074505806,0.9231876734094976,0.7029307282415631,0.0,0.9854900795655395,0.0307128522939009,0.02619692175980337,0.10845062136815507,0.48479362275703897,0.08831791055727808,0.9765,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
8,0.1643132720021822,0.024486750112938657,0.9914444444444445,0.14930599316504667,0.23315788458761483,0.05000000074505806,0.9217980404518425,0.7182504440497336,0.0,0.9870678915858904,0.026029102470794322,0.024465157196834973,0.10365303376520824,0.4399539395305266,0.06559160208488174,0.9825,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
9,0.10199771571024192,0.015480349998020554,0.9946666666666667,0.15265313443292733,0.23571347033681073,0.05000000074505806,0.9228748568527229,0.7153641207815276,0.0,0.9907438078527976,0.02103686772149799,0.015466766146192877,0.10567992070911462,0.3030663092678982,0.05463295833891607,0.9815,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
10,0.1088897714030334,0.016176345827466625,0.9947777777777778,0.1492818635797416,0.23447224470004308,0.05000000074505806,0.9256940857767,0.7250222024866785,0.0,0.9913984596411669,0.017560321458657983,0.016161990606983628,0.10420160424080056,0.2997198776661781,0.08884220854597516,0.977,final_layer_align_mag,16,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0
