run_name,display_name,corruption,severity,condition,accuracy,error_rate,nll,brier,entropy_mean,entropy_correct_mean,entropy_error_mean,entropy_error_gap,entropy_error_auc,mutual_information_mean,mutual_information_error_gap,mutual_information_error_auc,examples
standard_trust_none,Standard MLP (none),clean,0.0,clean,0.973,0.027000000000000024,0.11155584621429443,0.04161487078666687,0.03770531825816572,0.02568864662812403,0.4707505588518904,0.44506191222376634,0.9371645540710289,0.0,0.0,0.5,2000
standard_trust_none,Standard MLP (none),gaussian,0.15,gaussian_0.15,0.9305,0.0695,0.24588470268249513,0.11029224395751953,0.19400735599834973,0.155043056795423,0.7156804553986855,0.5606373986032626,0.8894691876804843,0.0,0.0,0.5,2000
standard_trust_none,Standard MLP (none),gaussian,0.3,gaussian_0.3,0.65,0.35,1.1984517211914063,0.48498337936401364,0.5220385902794646,0.3019670276391264,0.9307429208972359,0.6287758932581095,0.8636043956043956,0.0,0.0,0.5,2000
standard_trust_none,Standard MLP (none),gaussian,0.45,gaussian_0.45,0.4285,0.5715,2.7651773986816406,0.8532526321411132,0.6179990529259762,0.36909338508779943,0.8046238624949329,0.43553047740713347,0.7809333051571588,0.0,0.0,0.5,2000
standard_trust_none,Standard MLP (none),occlusion,8.0,occlusion_8,0.6355,0.36450000000000005,2.548578186035156,0.6102145156860351,0.30320186841506425,0.19473959471036642,0.4923041316231177,0.2975645369127513,0.7746889296849958,0.0,0.0,0.5,2000
standard_trust_none,Standard MLP (none),occlusion,12.0,occlusion_12,0.3745,0.6255,4.469107208251953,0.9708771438598632,0.6054163571422367,0.4027691253558836,0.7267455151022516,0.323976389746368,0.7101352296000316,0.0,0.0,0.5,2000
standard_trust_none,Standard MLP (none),occlusion,16.0,occlusion_16,0.256,0.744,3.8565697326660158,1.161691764831543,0.7014251323319249,0.45770653043964776,0.7852852964238913,0.32757876598424357,0.6990415511592742,0.0,0.0,0.5,2000
dropout_trust_none,Dropout MLP (none),clean,0.0,clean,0.9765,0.023499999999999965,0.0894735927581787,0.03999617195129394,0.13621379095867467,0.11776143363567007,0.9029681282316117,0.7852066945959416,0.9560741249142073,0.050454793283601744,0.29236099083824346,0.9508884313276901,2000
dropout_trust_none,Dropout MLP (none),gaussian,0.15,gaussian_0.15,0.9465,0.05349999999999999,0.2287819881439209,0.09772206687927246,0.4692061668963561,0.420997405631683,1.3220957470274417,0.9010983413957587,0.922765130757192,0.10241432234703166,0.15799027250419279,0.8713706671406214,2000
dropout_trust_none,Dropout MLP (none),gaussian,0.3,gaussian_0.3,0.7525,0.24750000000000005,0.7475327453613281,0.3436012191772461,1.0159898815430788,0.8344329299295183,1.567996370792389,0.7335634408628706,0.8542461156414645,0.1792511752009559,0.05003323888675651,0.6438900634249471,2000
dropout_trust_none,Dropout MLP (none),gaussian,0.45,gaussian_0.45,0.5425,0.4575,1.3180049133300782,0.5818490447998047,1.3073456095813307,1.0692402021234109,1.5896891801735091,0.5204489780500983,0.7817048173050288,0.2527546454872936,0.05136959212893011,0.6166976404522676,2000
