method,seed,epoch,epoch_runtime_seconds,cumulative_runtime_seconds,cpu_memory_mb,gpu_memory_allocated_mb,gpu_peak_memory_allocated_mb
bayes_by_backprop,0,11,19.8958450420032,302.60739833299886,474.265625,,
bayes_by_backprop,0,12,19.736218999998528,322.3472499999989,474.265625,,
bayes_by_backprop,0,13,19.89267700000346,342.24275320799643,474.265625,,
bayes_by_backprop,0,14,20.03561541600357,362.2812782499968,474.265625,,
bayes_by_backprop,0,15,19.879484999997658,382.16387133299577,474.265625,,
bayes_by_backprop,0,16,20.03761387500708,402.20494608299487,474.265625,,
bayes_by_backprop,0,17,20.080565125004796,422.2895467499984,474.265625,,
bayes_by_backprop,0,18,19.698181167004805,441.9914198329934,474.265625,,
bayes_by_backprop,0,19,19.902534250002645,461.8972480419979,474.265625,,
bayes_by_backprop,0,20,19.908567875005247,481.80921745799424,474.265625,,
bayes_by_backprop_dropout,0,1,19.648215082997922,19.648295207996853,474.265625,,
bayes_by_backprop_dropout,0,2,20.948130958000547,40.60037016699789,474.265625,,
bayes_by_backprop_dropout,0,3,20.375715875001333,60.98086062500079,474.265625,,
bayes_by_backprop_dropout,0,4,19.904316457999812,80.88980241699755,474.265625,,
bayes_by_backprop_dropout,0,5,21.008019875000173,101.90261149999424,474.265625,,
bayes_by_backprop_dropout,0,6,20.573386916003074,122.47987595800078,474.265625,,
bayes_by_backprop_dropout,0,7,20.612470125000982,143.09660387499753,474.265625,,
bayes_by_backprop_dropout,0,8,20.471302291996835,163.57224437499826,474.265625,,
bayes_by_backprop_dropout,0,9,20.65083125000092,184.2273283329996,474.265625,,
bayes_by_backprop_dropout,0,10,20.367092583001067,204.59859429199423,474.265625,,
bayes_by_backprop_dropout,0,11,20.135983207997924,224.7379450829976,474.265625,,
bayes_by_backprop_dropout,0,12,19.517957292002393,244.2592531669943,474.265625,,
bayes_by_backprop_dropout,0,13,20.10393233299692,264.36712116700073,474.265625,,
bayes_by_backprop_dropout,0,14,20.544338874999085,284.9164257079974,474.265625,,
bayes_by_backprop_dropout,0,15,20.120875000000524,305.04100133299653,474.265625,,
bayes_by_backprop_dropout,0,16,20.017873042001156,325.06202699999994,474.265625,,
bayes_by_backprop_dropout,0,17,19.89250387500215,344.9582185420004,474.265625,,
bayes_by_backprop_dropout,0,18,20.50564491700061,365.46703079199506,474.265625,,
bayes_by_backprop_dropout,0,19,20.564269499998773,386.03561033299775,474.265625,,
bayes_by_backprop_dropout,0,20,20.056941957998788,406.1037141249981,474.265625,,
