method,seed,epoch,epoch_runtime_seconds,cumulative_runtime_seconds,cpu_memory_mb,gpu_memory_allocated_mb,gpu_peak_memory_allocated_mb
standard_mlp,0,1,2.958640083001228,2.962670207998599,467.34375,,
standard_mlp,0,2,3.4528492919998826,6.423158540994336,470.1875,,
standard_mlp,0,3,3.4918526249966817,9.919539957998497,470.1875,,
standard_mlp,0,4,3.3979657090021647,13.321089915996708,471.421875,,
standard_mlp,0,5,3.711685834001401,17.036304249995737,472.6875,,
standard_mlp,0,6,3.492654916997708,20.533098624997365,473.03125,,
standard_mlp,0,7,3.6383172499990906,24.17546929099626,473.03125,,
standard_mlp,0,8,3.657238125000731,27.83667012499791,473.03125,,
standard_mlp,0,9,3.531808459003514,31.373230375000276,473.03125,,
standard_mlp,0,10,2.7428113749992917,34.12045966599544,473.03125,,
standard_mlp,0,11,2.1485387920038193,36.27110816599452,473.03125,,
standard_mlp,0,12,3.1379725000006147,39.411746874997334,473.03125,,
standard_mlp,0,13,3.452690791003988,42.866723624996666,474.234375,,
standard_mlp,0,14,3.5724227909959154,46.442607207995025,474.234375,,
standard_mlp,0,15,3.905443457995716,50.35337408299529,474.265625,,
standard_mlp,0,16,4.585702542004583,54.942847708000045,474.265625,,
standard_mlp,0,17,4.247621292000986,59.195068332999654,474.265625,,
standard_mlp,0,18,4.088575374997163,63.28707304099953,474.265625,,
standard_mlp,0,19,3.4432632500029285,66.73428220799542,474.265625,,
standard_mlp,0,20,2.845685833999596,69.58355041599862,474.265625,,
dropout_mlp,0,1,2.5251132080011303,2.525203375000274,474.265625,,
dropout_mlp,0,2,3.353046667005401,5.881909834002727,474.265625,,
dropout_mlp,0,3,3.7334030419951887,9.618927709001582,474.265625,,
dropout_mlp,0,4,4.019779917005508,13.643142166998588,474.265625,,
dropout_mlp,0,5,4.526107290999789,18.175056125000992,474.265625,,
dropout_mlp,0,6,4.206507417002285,22.38746450000326,474.265625,,
dropout_mlp,0,7,3.748320250000688,26.14031416700163,474.265625,,
dropout_mlp,0,8,4.045698249996349,30.19079945900012,474.265625,,
dropout_mlp,0,9,3.9037584999969113,34.10001483400265,474.265625,,
dropout_mlp,0,10,2.741963707994728,36.84660654199979,474.265625,,
dropout_mlp,0,11,2.871944624996104,39.72165879199747,474.265625,,
dropout_mlp,0,12,3.456088458005979,43.182303624998895,474.265625,,
dropout_mlp,0,13,3.822479082999053,47.00928416699753,474.265625,,
dropout_mlp,0,14,3.802204833998985,50.8160005000027,474.265625,,
dropout_mlp,0,15,3.8878958339992096,54.70902679199935,474.265625,,
dropout_mlp,0,16,3.942207125001005,58.656550500003505,474.265625,,
dropout_mlp,0,17,3.8918662080031936,62.55242212500161,474.265625,,
dropout_mlp,0,18,3.1915960410042317,65.7489360000036,474.265625,,
dropout_mlp,0,19,2.945664999999281,68.69794212499983,474.265625,,
dropout_mlp,0,20,3.5156133330019657,72.21798533399851,474.265625,,
bayes_by_backprop,0,1,32.557896082995285,32.55799937499978,474.265625,,
bayes_by_backprop,0,2,32.77912400000059,65.3438079579937,474.265625,,
bayes_by_backprop,0,3,31.35122224999941,96.70172533299774,474.265625,,
bayes_by_backprop,0,4,32.24013895799726,128.94854049999412,474.265625,,
bayes_by_backprop,0,5,37.504706833002274,166.46097924999776,474.265625,,
bayes_by_backprop,0,6,31.340792874994804,197.81052449999697,474.265625,,
bayes_by_backprop,0,7,25.815829958002723,223.6344276669988,474.265625,,
bayes_by_backprop,0,8,19.68719845800661,243.32464804199844,474.265625,,
bayes_by_backprop,0,9,19.58495433299686,262.9126995829938,474.265625,,
bayes_by_backprop,0,10,19.791592708999815,282.70842999999877,474.265625,,
