epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.7381546930736965,0.7381546930736965,0.7897777777777778,1.0,0.0,1.0,1.0,0.0,1.0,0.6466372423398663,0.8665148103740853,0.7366767962213973,0.3195904352664948,0.9085,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
2,0.2899978407488929,0.2899978407488929,0.9135555555555556,1.0,0.0,1.0,1.0,0.0,1.0,0.853212724269276,0.3432493201443847,0.289551366068108,0.2640991139411926,0.924,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
3,0.21753444292810228,0.21753444292810228,0.9368888888888889,1.0,0.0,1.0,1.0,0.0,1.0,0.8891465638724851,0.2621219256814097,0.21854940476551862,0.21425242137908934,0.941,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
4,0.15314612123039034,0.15314612123039034,0.9536666666666667,1.0,0.0,1.0,1.0,0.0,1.0,0.9172460755831758,0.20425162978575262,0.15273628955785656,0.18950542783737181,0.948,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
5,0.1148330422408051,0.1148330422408051,0.9664444444444444,1.0,0.0,1.0,1.0,0.0,1.0,0.9377931776181073,0.15509597054669555,0.11407765646425772,0.1806921780705452,0.945,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
6,0.08577109603252676,0.08577109603252676,0.9743333333333334,1.0,0.0,1.0,1.0,0.0,1.0,0.9503256611421075,0.12715540553482485,0.08504732155149251,0.17329741662740708,0.9455,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
7,0.06566642685731253,0.06566642685731253,0.9815555555555555,1.0,0.0,1.0,1.0,0.0,1.0,0.9597009017433918,0.10503117246946818,0.06679190616582481,0.17716526198387145,0.948,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
8,0.04934507719841268,0.04934507719841268,0.9866666666666667,1.0,0.0,1.0,1.0,0.0,1.0,0.9681890993051125,0.08650633897370016,0.049135466027532666,0.16312823063135148,0.953,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
9,0.03231477674014038,0.03231477674014038,0.9914444444444445,1.0,0.0,1.0,1.0,0.0,1.0,0.9773313092513823,0.06679235787039071,0.032173296016916424,0.16998902904987334,0.9535,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
10,0.022580102251635658,0.022580102251635658,0.9955555555555555,1.0,0.0,1.0,1.0,0.0,1.0,0.9829355268411233,0.0522303516176385,0.022395041626943668,0.163680327296257,0.9555,none,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs128_lr0p001_seed0
