epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.967077530172136,0.7819044926431444,0.7618888888888888,0.2192461607938117,0.19286526998518205,0.05000000074505806,0.6523185321625243,0.39268617025503877,0.0,0.6144761743274987,0.9974304701842315,0.780257633497529,0.1250586320731974,6.401762024307927,0.2221796081662178,0.9385,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
2,0.37410558128356936,0.1847164102262921,0.9501111111111111,0.1932973657199677,0.1836944801587585,0.05000000074505806,0.6821966892015849,0.4496675531069438,0.0,0.8906959895546555,0.2991107205549876,0.184685155220911,0.09416973217991544,3.1886600839330796,0.13726115158200264,0.96,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
3,0.29989062820540535,0.12605958105458154,0.9644444444444444,0.18173872906688257,0.17954343731733077,0.05000000074505806,0.7040140964883439,0.46300975185759524,0.0,0.9223179436744527,0.21565458506134386,0.1260338860517698,0.08557437318344172,2.321483575283213,0.13120251008868217,0.9635,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
4,0.2390492248137792,0.09062906203667323,0.9736666666666667,0.17601473502656248,0.17972056572953016,0.05000000074505806,0.7253737855464855,0.47907801426894275,0.0,0.9416763892410495,0.1627504457818701,0.09052758552926651,0.08301301797891551,1.7849809400578762,0.09462201571464539,0.9685,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
5,0.2064118099908034,0.06929672544366784,0.9802222222222222,0.17040121106179892,0.17778354624273085,0.05000000074505806,0.7484851547166811,0.48617021274482103,0.0,0.9552772539727231,0.12331625988297429,0.06915643581037298,0.07963008639660288,1.450871042854397,0.07023509301245212,0.977,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
6,0.1730186218685574,0.053295758297046025,0.9852222222222222,0.16988128772441377,0.18262462317943573,0.05000000074505806,0.7810061058254106,0.49281914902071583,0.0,0.9645805494159672,0.09902729984399275,0.05324780134523802,0.07715753995952138,1.197606309931329,0.07299619780480862,0.978,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
7,0.15962623547845417,0.044753216905726326,0.9865555555555555,0.1618344431333508,0.1782846266918994,0.05000000074505806,0.7867839716850443,0.5290115247381494,0.0,0.9704890838751556,0.07973440181701741,0.04481267235869317,0.06885566357655305,0.9985417888519612,0.07901777046918869,0.972,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
8,0.12997511276933882,0.034354413641823664,0.9921111111111112,0.1551146131563694,0.1704352431474848,0.05000000074505806,0.7838778810720917,0.5210549645390071,0.0,0.9758683180978113,0.07131324849811428,0.03451460165282091,0.06570966067519171,0.8064580234758397,0.06037630452215671,0.981,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
9,0.1150158408747779,0.027182976310451825,0.992,0.1531403937132646,0.17675333596924517,0.05000000074505806,0.8334600354762788,0.5525930849372918,0.0,0.9813817118076568,0.0498423154881977,0.02721219331006262,0.06394876030452074,0.7407602604399336,0.061128035575151445,0.978,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
10,0.12018800987137689,0.026881312027573587,0.9915555555555555,0.14728768117038915,0.17344097195998998,0.05000000074505806,0.8290234360289066,0.5720301418439716,0.0,0.9823286533355713,0.04602314471696497,0.027218963292011237,0.05780544891253325,0.6810162886977196,0.0776072688549757,0.974,final_layer_align,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0
