epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.3800300090909004,0.9305360550085704,0.7232222222222222,0.6759442149753302,0.28489474551817795,0.0508087388121746,0.9308732021862353,0.08532130282739518,0.010123239436619719,0.6732958437691272,0.6247521221217974,0.9244317731387178,0.47091125750541685,0.9085,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
2,0.05508753273884456,0.3702213367621104,0.9122222222222223,0.9013236895413466,0.24153419111815977,0.05000000074505806,0.9999999899259755,0.04007482394890886,0.04672095074620045,0.8997561537044149,0.12393954784517557,0.3706225572337567,0.29273595479130743,0.934,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
3,0.03564074965649181,0.24227595660421583,0.9441111111111111,0.9343999481536973,0.2014488311300815,0.05225070497729409,1.0,0.026562500010493775,0.08703785211267606,0.9333609216649768,0.08340216223412836,0.24208166828037989,0.2074766278862953,0.954,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
4,0.025742547349797355,0.17848005807730888,0.958,0.9515864362179394,0.17327389624756825,0.06610855544117135,1.0,0.018705985915492957,0.11833186636508351,0.9508354907304468,0.06132165106459403,0.17714874674631675,0.19338278913497925,0.957,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
5,0.020462771752642262,0.13914547699938218,0.9674444444444444,0.9620360958744103,0.15096752356055756,0.09791223820246442,1.0,0.015074823943661973,0.16285211267605634,0.9614639021980931,0.04987813935051082,0.1378926767469187,0.11531484687328339,0.9725,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
6,0.016197615287577113,0.11513636382379466,0.9738888888888889,0.9689851831382429,0.13917230812071915,0.08010460090049555,1.0,0.012433978873239437,0.19845950687435313,0.9684846191339089,0.03892279736382861,0.11404131698540189,0.10298601546883583,0.9735,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
7,0.014508912136157353,0.09962283456325531,0.9768888888888889,0.9718070886504482,0.1312178801482832,0.09557617859731257,1.0,0.011135563385528577,0.23785211271803144,0.9713593990030424,0.03505161198669336,0.1007558837349356,0.12034522861242294,0.9675,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
8,0.01208485867910915,0.08895868955055873,0.9816666666666667,0.9769267288731857,0.11767812305405526,0.11656951725902692,1.0,0.010255281695387733,0.2539832747318375,0.9765052761830074,0.029277091098188514,0.09203604471699244,0.10142533542215824,0.9745,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
9,0.011317741174664763,0.08199275381697549,0.9817777777777777,0.9783373651370196,0.11313016841214307,0.1533356701404276,1.0,0.009705105639049704,0.3130061620138061,0.977959886403151,0.026912460733257548,0.0827117767381731,0.09148605772852898,0.9755,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
10,0.009909237722555796,0.07192509390248193,0.9838888888888889,0.9807495777036103,0.10693498905485785,0.15492545844803393,1.0,0.0077024647887323945,0.3292693663650835,0.9804402421897566,0.023663010225224664,0.07179019136787196,0.08443466892838478,0.9775,confidence,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0
