epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.8071405968798532,0.583647768550449,0.8184444444444444,0.22888275526516827,0.20201627511187648,0.05000000074505806,0.6770224258409324,0.3727836879432624,0.0,0.7060069908381353,0.7692309947724038,0.5826883050249824,0.14688174647166796,5.007291555616027,0.14124630188941956,0.959,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
2,0.3791200271480613,0.14660148414969446,0.9571111111111111,0.20189027010020635,0.2054616909553396,0.05000000074505806,0.7576196145081351,0.44292996453900707,0.0,0.9097160098823249,0.25035144108618407,0.14624373896166365,0.11623522871692421,2.4737078022238213,0.10299579259753228,0.9715,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
3,0.3009362886481815,0.0922545067999098,0.9737777777777777,0.18444096468758922,0.19977622986473936,0.05000000074505806,0.785427081458112,0.47118794326241137,0.0,0.9425497264304059,0.15465014208610176,0.09244082298737469,0.09960847638270005,1.7102497438801096,0.09149173165112734,0.9745,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
4,0.25440628660170156,0.06783642529587572,0.9807777777777777,0.17575013304644443,0.19993869030306524,0.05000000074505806,0.8188899536716178,0.5088652482269503,0.0,0.9563614630952795,0.119497347553756,0.06765769883814426,0.09182950119976721,1.2801996517582988,0.08550999477505684,0.9695,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
5,0.1971187269695931,0.05071764052762753,0.9841111111111112,0.1765882765993159,0.20261563981572786,0.05000000074505806,0.8476639263173367,0.5054299645390071,0.0,0.9669367017898154,0.08940339947766657,0.05059248872979789,0.09503287889050148,0.9885061023400185,0.07044867593795061,0.977,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
6,0.1829832827211875,0.03998384357305865,0.9882222222222222,0.16391823490989124,0.19975456267806654,0.05000000074505806,0.8610478751625575,0.554188829787234,0.0,0.9741208405359417,0.0674542490795836,0.039880340621667974,0.08057648343602129,0.8439797154158777,0.0683134109294042,0.9785,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
7,0.13366020649981997,0.02611358667185737,0.9907777777777778,0.15515137413609112,0.19982933876573616,0.05000000074505806,0.8765577936003394,0.5862145390070922,0.0,0.9832398728698704,0.04105745646640235,0.02606175937264636,0.07121210254098005,0.6187241722479568,0.06834085679613054,0.975,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
8,0.15426874762049153,0.02914359134854749,0.9905555555555555,0.15436658604030914,0.20070330978285336,0.05000000074505806,0.8882486897368803,0.5987367021276596,0.0,0.9824031764733876,0.04166819714505146,0.029067706606199745,0.07169559539513702,0.6132300898287419,0.08206807280797511,0.9735,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
9,0.11367309730091235,0.01990808126126002,0.994,0.15151505756145672,0.19878784625242787,0.05000000074505806,0.8945308071924439,0.609375,0.0,0.9878664783974911,0.030789595290503288,0.01985640210049567,0.0692553302101421,0.43864857009446895,0.059931632936000824,0.9805,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
10,0.11088187798360984,0.018721979912655014,0.9941111111111111,0.15001630225608534,0.1972113236626412,0.05000000074505806,0.8946436030644898,0.6091533687943262,0.0,0.9884251973307725,0.02895773133198592,0.0186729090323784,0.07014967052675519,0.40807726122240756,0.04642727675591595,0.9875,final_layer_align,32,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0
