method,seed,architecture,epochs,batch_size,learning_rate,optimizer,best_epoch,final_test_accuracy,final_test_error,best_test_accuracy,best_test_error,runtime_seconds,average_epoch_time_seconds,checkpoint_path
standard_mlp,0,"2 hidden ReLU layers, 400 units each; deterministic weights; no dropout",20,128,0.001,Adam,15,0.9799,0.0201,0.982,0.018,69.58569333299965,3.4751870147003503,reproduction/checkpoints/standard_mlp_seed0.pt
dropout_mlp,0,"2 hidden ReLU layers, 400 units each; deterministic weights; dropout p=0.5",20,128,0.001,Adam,18,0.9829,0.0171,0.9846,0.0153999999999999,72.22324595900136,3.60656293955035,reproduction/checkpoints/dropout_mlp_seed0.pt
bayes_by_backprop,0,"2 hidden ReLU layers, 400 units each; BayesianLinear layers; scale-mixture prior",20,128,0.001,Adam,17,0.9819,0.0181,0.9826,0.0173999999999999,481.8127547080003,24.08603801035133,reproduction/checkpoints/bayes_by_backprop_seed0.pt
bayes_by_backprop_dropout,0,"2 hidden ReLU layers, 400 units each; BayesianLinear layers; scale-mixture prior; dropout p=0.1",20,128,0.001,Adam,16,0.9822,0.017800000000000038,0.9832,0.016800000000000037,406.10723275000055,20.30099007075005,reproduction/checkpoints/bayes_by_backprop_dropout_seed0.pt
