method,seed,epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,test_error,epoch_runtime_seconds,cumulative_runtime_seconds,cpu_memory_mb,gpu_memory_allocated_mb,gpu_peak_memory_allocated_mb
standard_mlp,0,14,0.012421855623782,0.1049922870794932,0.095417266745763,0.9956111111111112,0.978,0.9794,0.0205999999999999,3.5724227909959154,46.442607207995025,474.234375,,
standard_mlp,0,15,0.0093339346190828,0.1008410158157348,0.0875226244282792,0.9967407407407408,0.9798333333333332,0.982,0.018,3.905443457995716,50.35337408299529,474.265625,,
standard_mlp,0,16,0.0060265846787154,0.1093356347326189,0.095214620164255,0.9978888888888888,0.9795,0.9804,0.0195999999999999,4.585702542004583,54.942847708000045,474.265625,,
standard_mlp,0,17,0.0076551453759462,0.1166117589771747,0.1201401349866384,0.9974814814814816,0.9788333333333332,0.9763,0.0237,4.247621292000986,59.195068332999654,474.265625,,
standard_mlp,0,18,0.0128136821497162,0.103901754344503,0.097895089572903,0.995925925925926,0.9781666666666666,0.9807,0.0192999999999999,4.088575374997163,63.28707304099953,474.265625,,
standard_mlp,0,19,0.0061484976621642,0.1232594134757916,0.1077223804399362,0.9979814814814816,0.9786666666666668,0.9808,0.0191999999999999,3.4432632500029285,66.73428220799542,474.265625,,
standard_mlp,0,20,0.0116618365142839,0.1070255149522175,0.1083812840031067,0.9961666666666666,0.9806666666666668,0.9799,0.0201,2.845685833999596,69.58355041599862,474.265625,,
dropout_mlp,0,1,0.4060502350506959,0.1534929302533467,0.1409246404141187,0.8777592592592592,0.9508333333333332,0.9568,0.0432,2.5251132080011303,2.525203375000274,474.265625,,
dropout_mlp,0,2,0.182706037375662,0.1073395003477732,0.1045728828087449,0.9452777777777778,0.9653333333333334,0.9669,0.0331,3.353046667005401,5.881909834002727,474.265625,,
dropout_mlp,0,3,0.1389665697526048,0.094407183766365,0.0924333081644028,0.9572592592592593,0.9708333333333332,0.9704,0.0295999999999999,3.7334030419951887,9.618927709001582,474.265625,,
dropout_mlp,0,4,0.1197968468401167,0.0849522533814112,0.0811812695167958,0.963351851851852,0.9738333333333332,0.9753,0.0247,4.019779917005508,13.643142166998588,474.265625,,
dropout_mlp,0,5,0.102596711119016,0.0803325256705284,0.0758704090785235,0.9678333333333332,0.976,0.9762,0.0238,4.526107290999789,18.175056125000992,474.265625,,
dropout_mlp,0,6,0.0958823718274081,0.0753513222336769,0.0729705013861414,0.9702222222222222,0.9768333333333332,0.9776,0.0223999999999999,4.206507417002285,22.38746450000326,474.265625,,
dropout_mlp,0,7,0.0876722565911434,0.0653462143143018,0.0641603715070057,0.9726666666666668,0.9793333333333332,0.9805,0.0194999999999999,3.748320250000688,26.14031416700163,474.265625,,
dropout_mlp,0,8,0.0810489004740008,0.0809271212021509,0.0751970507131889,0.9745185185185186,0.9765,0.978,0.022,4.045698249996349,30.19079945900012,474.265625,,
dropout_mlp,0,9,0.0756634860171212,0.067989868124326,0.0656605633102357,0.9759074074074074,0.9803333333333332,0.9807,0.0192999999999999,3.9037584999969113,34.10001483400265,474.265625,,
dropout_mlp,0,10,0.0708891184120266,0.0678408637444178,0.0587217839536024,0.9772222222222222,0.9801666666666666,0.9827,0.0172999999999999,2.741963707994728,36.84660654199979,474.265625,,
dropout_mlp,0,11,0.0651762259481129,0.064313690106074,0.0534711812286288,0.9793148148148147,0.9808333333333332,0.9827,0.0172999999999999,2.871944624996104,39.72165879199747,474.265625,,
dropout_mlp,0,12,0.0650701722900072,0.0710055808822314,0.0645552990661002,0.9792037037037036,0.9791666666666666,0.9809,0.0191,3.456088458005979,43.182303624998895,474.265625,,
dropout_mlp,0,13,0.0586841996974415,0.0736503362258275,0.0605077658951282,0.981,0.9788333333333332,0.9823,0.0177,3.822479082999053,47.00928416699753,474.265625,,
dropout_mlp,0,14,0.0573439876012228,0.0690456061611572,0.0583834723602747,0.981925925925926,0.979,0.9828,0.0171999999999999,3.802204833998985,50.8160005000027,474.265625,,
dropout_mlp,0,15,0.0544578312563675,0.0709618955453236,0.0617542923513101,0.9826296296296296,0.9806666666666668,0.9836,0.0163999999999999,3.8878958339992096,54.70902679199935,474.265625,,
dropout_mlp,0,16,0.0521542022614567,0.072748493095239,0.0681683061309158,0.9832962962962964,0.9815,0.9801,0.0199,3.942207125001005,58.656550500003505,474.265625,,
dropout_mlp,0,17,0.0544633290304078,0.0646334703365961,0.060052818841263,0.982537037037037,0.9831666666666666,0.9838,0.0161999999999999,3.8918662080031936,62.55242212500161,474.265625,,
dropout_mlp,0,18,0.0525994734471594,0.0691371926764647,0.0597835711620369,0.982537037037037,0.9813333333333332,0.9846,0.0153999999999999,3.1915960410042317,65.7489360000036,474.265625,,
dropout_mlp,0,19,0.0513965645531813,0.0631421522100766,0.0615459328252472,0.9836666666666668,0.983,0.9831,0.0169,2.945664999999281,68.69794212499983,474.265625,,
dropout_mlp,0,20,0.049915813266955,0.0652116523385047,0.0599833574922289,0.983574074074074,0.9825,0.9829,0.0171,3.5156133330019657,72.21798533399851,474.265625,,
bayes_by_backprop,0,1,37.1582515733507,0.1219301228523254,0.1181534859895706,0.9198703703703704,0.9631666666666666,0.963,0.037,32.557896082995285,32.55799937499978,474.265625,,
bayes_by_backprop,0,2,31.764761022497108,0.0981424692869186,0.0934052315674722,0.9727222222222224,0.968,0.9719,0.0281,32.77912400000059,65.3438079579937,474.265625,,
bayes_by_backprop,0,3,28.234839392202872,0.0785483476718266,0.0780118725161999,0.9827592592592592,0.9746666666666668,0.9755,0.0244999999999999,31.35122224999941,96.70172533299774,474.265625,,
bayes_by_backprop,0,4,25.259959096272787,0.0744910782078902,0.0717713615757878,0.987462962962963,0.9791666666666666,0.9774,0.0225999999999999,32.24013895799726,128.94854049999412,474.265625,,
bayes_by_backprop,0,5,22.885470074688943,0.0708425484100977,0.0721634987074881,0.9899814814814816,0.9776666666666668,0.9767,0.0232999999999999,37.504706833002274,166.46097924999776,474.265625,,
bayes_by_backprop,0,6,21.132410856458876,0.0699402482708295,0.0665835501157213,0.9902037037037036,0.9776666666666668,0.9796,0.0203999999999999,31.340792874994804,197.81052449999697,474.265625,,
bayes_by_backprop,0,7,19.906013782642507,0.0775402229428291,0.0714408620428759,0.9890925925925926,0.978,0.9788,0.0211999999999999,25.815829958002723,223.6344276669988,474.265625,,
bayes_by_backprop,0,8,19.055245962072306,0.0732439628243446,0.0696982420345186,0.9885185185185184,0.9771666666666666,0.9786,0.0213999999999999,19.68719845800661,243.32464804199844,474.265625,,
bayes_by_backprop,0,9,18.43844888418692,0.0721190560758113,0.0668776059321942,0.9887037037037038,0.9788333333333332,0.9813,0.0187,19.58495433299686,262.9126995829938,474.265625,,
bayes_by_backprop,0,10,17.968204629968714,0.0677596465249856,0.0661650626621325,0.988,0.9808333333333332,0.9798,0.0201999999999999,19.791592708999815,282.70842999999877,474.265625,,
bayes_by_backprop,0,11,17.595173802128546,0.0695510967373848,0.063227036660636,0.986925925925926,0.9795,0.9804,0.0195999999999999,19.8958450420032,302.60739833299886,474.265625,,
bayes_by_backprop,0,12,17.28151015613697,0.0684165068864822,0.0639224981638835,0.9867962962962964,0.9813333333333332,0.9803,0.0197,19.736218999998528,322.3472499999989,474.265625,,
bayes_by_backprop,0,13,17.01230211667661,0.0715834535211324,0.0683007385338656,0.9863333333333332,0.98,0.9798,0.0201999999999999,19.89267700000346,342.24275320799643,474.265625,,
bayes_by_backprop,0,14,16.77360085381402,0.0679846120675404,0.0647368651342985,0.9852037037037036,0.9821666666666666,0.9806,0.0193999999999999,20.03561541600357,362.2812782499968,474.265625,,
bayes_by_backprop,0,15,16.55551552101418,0.0712552637457847,0.0685674454124411,0.9845185185185186,0.98,0.9792,0.0208,19.879484999997658,382.16387133299577,474.265625,,
bayes_by_backprop,0,16,16.35222723106102,0.0678151648640632,0.0610144360757549,0.9842222222222222,0.9801666666666666,0.9815,0.0184999999999999,20.03761387500708,402.20494608299487,474.265625,,
bayes_by_backprop,0,17,16.163914403844764,0.0666176488796869,0.0630232990384276,0.9827777777777778,0.9818333333333332,0.9826,0.0173999999999999,20.080565125004796,422.2895467499984,474.265625,,
bayes_by_backprop,0,18,15.984456854361074,0.0647205373843511,0.0642287595633941,0.9830185185185184,0.9833333333333332,0.981,0.019,19.698181167004805,441.9914198329934,474.265625,,
bayes_by_backprop,0,19,15.813155897635,0.0713059678276379,0.0635890714056906,0.9817037037037036,0.9803333333333332,0.9806,0.0193999999999999,19.902534250002645,461.8972480419979,474.265625,,
bayes_by_backprop,0,20,15.646298734594277,0.0699711530307928,0.0616380685266689,0.9822962962962964,0.9796666666666668,0.9819,0.0181,19.908567875005247,481.80921745799424,474.265625,,
bayes_by_backprop_dropout,0,1,37.234080537018954,0.12779642049471537,0.1186933561168611,0.904537037037037,0.962,0.9628,0.03720000000000001,19.648215082997922,19.648295207996853,474.265625,,
bayes_by_backprop_dropout,0,2,31.84117616667571,0.09823381797472636,0.09418536148555577,0.9639629629629629,0.9695,0.9715,0.02849999999999997,20.948130958000547,40.60037016699789,474.265625,,
bayes_by_backprop_dropout,0,3,28.320777198508935,0.08220570969581605,0.07560841758139432,0.9743703703703703,0.9728333333333333,0.977,0.02300000000000002,20.375715875001333,60.98086062500079,474.265625,,
bayes_by_backprop_dropout,0,4,25.362768853646738,0.07562518594662349,0.07026806581430137,0.9796296296296296,0.9753333333333334,0.9789,0.021100000000000008,19.904316457999812,80.88980241699755,474.265625,,
bayes_by_backprop_dropout,0,5,22.98908833312988,0.07851564657688141,0.06732810667632148,0.9832407407407407,0.9761666666666666,0.9788,0.021199999999999997,21.008019875000173,101.90261149999424,474.265625,,
bayes_by_backprop_dropout,0,6,21.231110634697806,0.07154944252967835,0.06438265056430828,0.9841296296296296,0.9788333333333333,0.9792,0.02080000000000004,20.573386916003074,122.47987595800078,474.265625,,
bayes_by_backprop_dropout,0,7,19.992721922697843,0.07295881082614263,0.06446012962884269,0.9841851851851852,0.9785,0.9807,0.019299999999999984,20.612470125000982,143.09660387499753,474.265625,,
bayes_by_backprop_dropout,0,8,19.124495021678783,0.06866744619607926,0.062374313047062604,0.9839444444444444,0.98,0.9809,0.019100000000000006,20.471302291996835,163.57224437499826,474.265625,,
bayes_by_backprop_dropout,0,9,18.49261695240162,0.06966663297017416,0.058707977627275976,0.9839814814814815,0.9791666666666666,0.9819,0.018100000000000005,20.65083125000092,184.2273283329996,474.265625,,
bayes_by_backprop_dropout,0,10,18.01600147784198,0.07045274154345195,0.05973690128163434,0.9833148148148149,0.9783333333333334,0.9803,0.01970000000000005,20.367092583001067,204.59859429199423,474.265625,,
bayes_by_backprop_dropout,0,11,17.634802159627277,0.06703440968195597,0.05889967535845935,0.9822037037037037,0.9808333333333333,0.9819,0.018100000000000005,20.135983207997924,224.7379450829976,474.265625,,
bayes_by_backprop_dropout,0,12,17.315887176513673,0.06663483113050461,0.05794746786374599,0.981574074074074,0.9795,0.9812,0.01880000000000004,19.517957292002393,244.2592531669943,474.265625,,
bayes_by_backprop_dropout,0,13,17.04082534959581,0.06912801710764567,0.05900005316630704,0.9817777777777777,0.98,0.9821,0.017900000000000027,20.10393233299692,264.36712116700073,474.265625,,
bayes_by_backprop_dropout,0,14,16.796528786553278,0.06814818665385246,0.060350800081854686,0.9807222222222223,0.98,0.9816,0.018399999999999972,20.544338874999085,284.9164257079974,474.265625,,
bayes_by_backprop_dropout,0,15,16.577884082370336,0.06829099461932978,0.057395084316725846,0.9801666666666666,0.9803333333333333,0.9818,0.018199999999999994,20.120875000000524,305.04100133299653,474.265625,,
bayes_by_backprop_dropout,0,16,16.37691327130353,0.06809337142109871,0.05914086410659365,0.9803888888888889,0.9798333333333333,0.9832,0.016800000000000037,20.017873042001156,325.06202699999994,474.265625,,
bayes_by_backprop_dropout,0,17,16.18717232711227,0.06746362064282099,0.05696206275033765,0.9790555555555556,0.9801666666666666,0.9829,0.017100000000000004,19.89250387500215,344.9582185420004,474.265625,,
bayes_by_backprop_dropout,0,18,16.005078294542102,0.06749036480983098,0.06007741341721266,0.9781111111111112,0.9813333333333333,0.981,0.019000000000000017,20.50564491700061,365.46703079199506,474.265625,,
bayes_by_backprop_dropout,0,19,15.835143767462837,0.06590869310498237,0.05881029803790152,0.9777407407407407,0.9815,0.9823,0.01770000000000005,20.564269499998773,386.03561033299775,474.265625,,
bayes_by_backprop_dropout,0,20,15.666939299124259,0.06896455070376396,0.05846814837018028,0.9777962962962963,0.9801666666666666,0.9822,0.017800000000000038,20.056941957998788,406.1037141249981,474.265625,,
