optimizer_variant,runs,mean_best_val_test_accuracy,std_best_val_test_accuracy,mean_test_nll,mean_test_ece
old_kalman_grad_scaling,1,0.8651,0.0,0.43667516951560975,0.09455508596897125
adamw,1,0.8623,0.0,0.4522194974899292,0.09879699301719666
per_unit_filter_trust,1,0.8613,0.0,0.4305285683631897,0.0941655268907547
adamw_clip,1,0.8607,0.0,0.4361320041656494,0.09516768207550048
combined_kalman_trust,1,0.8452,0.0,0.49888589277267453,0.11254582452774048
kalman_lr_controller,1,0.8424,0.0,0.5254841920852661,0.12347894096374512
direction_aware_trust,1,0.8324,0.0,0.5642399345397949,0.13561438632011413
