epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,0.8325912273150903,0.8211481481481482,0.31565883032480874,0.9111666666666667,0.31565883032480874,0.06867582315206527,0.9139,0.30181168847084044,0.06966425678730011
2,0.2746087067127228,0.9219814814814815,0.2486825173695882,0.9295,0.2486825173695882,0.05652998427549998,0.9328,0.23444112968444825,0.05368838526010513
3,0.2185126752809242,0.9369814814814815,0.21275867541631063,0.9423333333333334,0.21275867541631063,0.050100807905197144,0.943,0.1955734417140484,0.04880734623074531
4,0.1804484038485421,0.9474444444444444,0.1872921234766642,0.948,0.1872921234766642,0.04448617872595787,0.9499,0.16780170090198518,0.04217162796258926
5,0.15527151211544318,0.955,0.16563714917500813,0.9546666666666667,0.16563714917500813,0.04135569583872954,0.9569,0.1448038091480732,0.03965043030977249
