epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,0.7779776156655064,0.8471481481481481,0.30872912788391116,0.9138333333333334,0.30872912788391116,0.0784477614959081,0.9153,0.2991705190420151,0.06942343686819076
2,0.2748678858810001,0.9211851851851852,0.24314916928609212,0.9313333333333333,0.24314916928609212,0.06051559442281723,0.9304,0.23668738034963607,0.059932719099521636
3,0.22276703198750814,0.9358703703703704,0.20977523549397786,0.9391666666666667,0.20977523549397786,0.052989739954471586,0.941,0.2035687671661377,0.04912709282040596
4,0.18482215132978227,0.9477222222222222,0.18004900868733725,0.9476666666666667,0.18004900868733725,0.04598551958799362,0.9496,0.17171576210856437,0.04324839800596237
5,0.15779763378478862,0.9541851851851851,0.15860584259033203,0.9516666666666667,0.15860584259033203,0.043837541460990906,0.9556,0.14748157368898393,0.038343089163303375
