epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,0.6995244279702505,0.8613148148148149,0.20874499368667604,0.9395,0.20874499368667604,0.054887628227472306,0.9422,0.1992065940141678,0.052365413773059845
2,0.15645772300384664,0.9537037037037037,0.13095880230267842,0.9608333333333333,0.13095880230267842,0.03804328137636185,0.9648,0.11589395471215248,0.036518180191516876
3,0.09982392242661228,0.9696481481481481,0.10542595998446147,0.9673333333333334,0.10542595998446147,0.031166173170010247,0.9696,0.0973534349925816,0.028412208992242814
4,0.07119272592111871,0.9790925925925926,0.09462318058808644,0.9688333333333333,0.09462318058808644,0.029488222738107046,0.9756,0.08564526150748134,0.026412048077583312
5,0.05121854114311713,0.9845185185185186,0.08029445962111155,0.9725,0.08029445962111155,0.026970967382192613,0.9757,0.07354391900496557,0.02416135230064392
