epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,0.29936558006869424,0.9150185185185186,0.1515136801401774,0.9576666666666667,0.1515136801401774,0.036036363979180655,0.9604,0.13133541137576102,0.0353618813097477
2,0.10636571344181343,0.9679629629629629,0.10606029287974039,0.9705,0.10606029287974039,0.029749826113382977,0.9709,0.09240772003531456,0.027683856737613678
3,0.06902485536094065,0.9785555555555555,0.08311627487341564,0.9776666666666667,0.08311627487341564,0.02459065196911494,0.9774,0.07046763183772564,0.02102363085746765
4,0.04893149517586938,0.9851481481481481,0.08297433217366536,0.9753333333333334,0.08297433217366536,0.022827922518054645,0.9768,0.07564767377972603,0.021102727699279785
5,0.03740258734645667,0.9883703703703703,0.0885372751156489,0.977,0.0885372751156489,0.023054679503043494,0.9758,0.08037259354330599,0.022331505900621416
